vocabulary,definition,short,chinese,long
momentous,1. of very great significance,"Momentousdescribes an important event or moment in time. It is used for a time of great consequence or for a major accomplishment, and is almost always reserved for good things.",褒义：重大的（成就／事件）,"When a moment is so great you know you'll never forget it, you have just experienced somethingmomentous. It can be personal â perhaps the day you were named prom queen; or something historic â like the day Elizabeth was named Queen of England.Momentousandmomentaryshare the root wordmomentbutmomentarydescribes just one fleeting moment in time. A momentary occurrence can certainly bemomentous, but it's not always the case."
precarious,"1. not secure; beset with difficulties
2. affording no ease or reassurance
3. fraught with danger","Grab for the adjectiveprecariouswhen something is unstable, dangerous or difficult and likely to get worse. Are you totally broke and the people you owe money to keep calling? You're in aprecariousfinancial situation!","=unstable 不稳定的","The Latin root ofprecariousmeans ""obtained by asking or praying."" This fits well asprecariousalways signals that help is needed desperately. If your life is precarious or you are in a precarious situation, things could become difficult, maybe even dangerous, for you. If your footing or hold on something is precarious, it is unstable or not firmly placed, so that you are likely to slip or lose your grip."
innocuous,"1. not injurious to physical or mental health
2. lacking intent or capacity to injure
3. not causing disapproval","Something that'sinnocuousisn't harmful or likely to cause injury. Public figures like mayors and governors have to expect they'll get critical or even hurtful emails and phone calls, as well as moreinnocuousfeedback.",人畜无害的,"The adjectiveinnocuousis useful when you're talking about something that doesn't offend or injure anyone. Innocuous remarks or comments are meant kindly, and innocuous germs won't make you sick. An innocuous question is innocently curious, rather than aimed to hurt someone's feelings. The word comes from the Latin rootsin-, ""not,"" andnocere, ""to injure or harm."""
betray,"1. deliver to an enemy by treachery
2. disappoint, prove undependable to; abandon, forsake
3. cause someone to believe an untruth
4. give away information about somebody
5. reveal unintentionally
6. be sexually unfaithful to one's partner in marriage","When youbetraysomeone or something, you provide information whether you mean to do it or not, like the loud growling of your stomach thatbetraysyour hunger or the secret you tell about your friend thatbetraysher trust.",某人不经意间流露出（真实感情）,"When you betray someone or something, you reveal something, like a secret or your true feelings. You may betray your impatience, for example, if you sit at your desk tapping your fingers. There is another meaning ofbetraythat is just the opposite: lie. You betray your friend if you pretend that something is true just to trick him into doing what you want. In this case,betraymeans the same thing asdeceive."
expel,"1. eliminate (a substance)
2. force to leave or move out
3. cause to flee
4. remove from a position or office","Gettingexpelledfrom a school is a step beyond suspension. It means that you are asked to leave and never come back. In other words, you have been kicked out.",开除学籍；从...里面排出某物,"More benignly,expelcan mean discharge: if you're having a water-fountain spitting-fight, you are hoping to expel water from your mouth in the direction of your opponent before they can get you. But don't do this; you won't get expelled from school, but the germs in your body will be expelled all over your friends."
parallel,"1. being everywhere equidistant and not intersecting
2. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
3. an imaginary line around the Earth parallel to the equator
4. be parallel to
5. make or place parallel to something
6. something having the property of being analogous to something else
7. of or relating to the simultaneous performance of multiple operations
8. duplicate or match","In math,parallelmeans two lines that never intersect––think of an equal sign. Figuratively,parallelmeans similar, or happening at the same time. A story might describe theparallellives of three close friends.",相似的，类似的,"Parallelis from Greekparallēlos, from the prefixpara-""beside"" plusallēlōn""of one another,"" fromallos""other."" As a noun, aparallelis a way in which things resemble each other––you might draw parallels between the Vietnam War and the US invasion of Iraq. In specialized use, aparallelcan mean one of the imaginary circles on the surface of the Earth that are parallel to the equator––the 49th parallel divides the US and Canada."
scant,"1. less than the correct or legal or full amount often deliberately so
2. limit in quality or quantity
3. supply sparingly and with restricted quantities
4. work hastily or carelessly; deal with inadequately and superficially","Scantis an adjective that means ""a tiny amount,"" like yourscantattendance at practice this week that results in being benched from the big game.","某人不经意间流露出（真实感情） ","Scantis also a verb, that means ""to supply sparingly"" â don't scant with the brownies, or I will keep asking for more.Scantalso means ""to deal with inadequately or carelessly."" When you scant the reports on homelessness, they are so superficial on data that they don't reflect the real problem.Scantcomes from the Old Norse wordskamt,meaning ""short, brief."""
administer,,"When you administer something, you give it to others. This can apply to a dose of medicine, an order, a survey, or a punishment. Administer can also mean to run something — such as a school or an office.","=be in charge of 主持某一场(宗教)活动或项目； =apply medication to sb","The word administer belongs to a family of words, all having to do with being in charge: administration, administrator, and administrative. Strangely, administer comes from the Latin word minister meaning ""servant."" So, if your boss or principal administers an instruction that you disagree with, just think of that person as your servant. Doing so will help you carry out your duties with a smile."
all the more,,,,
precipitate,"1. bring about abruptly
2. hurl or throw violently
3. fall vertically, sharply, or headlong
4. done with very great haste and without due deliberation
5. fall from clouds
6. separate as a fine suspension of solid particles
7. a precipitated solid substance in suspension or after settling or filtering","Precipitateusually means ""bringing something on"" or ""making it happen"" — and not always in a good way. An unpopular verdict might ""precipitateviolence"" or one false step at the Grand Canyon couldprecipitateyou down into the gorge.",引发某件事情突然发生（令人措手不及）,"Precipitate, as a verb, can also mean specifically, ""to fall from clouds,"" such as rain, snow, or other forms of precipitation. When used as an adjective,precipitatemeans ""hasty"" or ""acting suddenly."" If you decide to throw your class project in a trash masher just because someone in your class had a similar idea, then your actions might be described as precipitate. Or if you do that sort of thing regularly, you may be a precipitate person."
malady,"1. impairment of normal physiological function affecting part or all of an organism
2. any unwholesome or desperate condition","Amaladyis an illness, like amaladythat keeps you home, sick in bed for days, or something that causes you to have trouble or to suffer, like jet lag — amaladythat affects travelers.",疾病,"Malady, pronounced ""MAL-uh-dee,"" comes from the Latin wordsmale, meaning ""bad or ill"" andhabitusfor ""have, hold."" When you have a malady, it is like something bad is holding you, such as an illness — the common cold: a malady of winter. Some bad habits cause maladies, such as never having any money — the malady of people who spend freely, not thinking of the future."
proclaim,"1. declare formally; declare someone to be something; of titles
2. affirm or declare as an attribute or quality of
3. state or announce
4. praise, glorify, or honor","""Iproclaimthe Olympic Games open."" Every two years with words similar to these, the Olympic games officially begin. Toproclaimis to exclaim or declare.",正式宣布,"When you proclaim something, you are saying it loud and clear and in public. A doctor can proclaim you healthy after you have recovered from a long illness. The panel of judges may have trouble proclaiming the winner in a very tight race. What you are saying out loud can be called a proclamation. Proclamations were once only made by Kings or other ruling leaders which is why the wordproclaimhas an official feeling to it."
antediluvian,"1. of or relating to the period before the biblical flood
2. so extremely old as seeming to belong to an earlier period
3. any of the early patriarchs who lived prior to the Noachian deluge
4. a very old person","Antediluvianmeans ""before the flood"" — that is, the Biblical flood with Noah's ark. Generally, though, the word is used — often humorously — to describe something really, really old.",(幽默感) 极其古老／落后的,"In popular language,antediluvianis almost always used to exaggerate how comically, ridiculously old and out-of-date something is. You may laugh at your parents' antediluvian ideas of what's proper for going out on a date. And how about those antediluvian computers they still insist are fine! When the word was coined in the seventeenth century, however, it was meant literally. Back then, the science of reconstructing the Earth's history used the Bible as a frame of reference."
disown,"1. cast off
2. prevent deliberately (as by making a will) from inheriting","Todisownsomeone is to reject them. If youdisownyour brother, you refuse to have anything to do with him: not only do you not speak or have contact, but it's as if he's no longer related to you.",某人与另一人断交,"When one person disowns another, it's because of some terrible argument or deep-rooted conflict. Although it's uncommon to disown another person, when it happens it's usually a family member who's cast off. Your mom might threaten to disown you after you drive her car into the mailbox, but she's probably not serious.Disowntakes the root wordown, meaning ""to have or to hold,"" and adds the Latin prefixdis, ""not"" or ""do the opposite of."""
flighty,"1. guided by whim and fancy
2. unpredictably excitable (especially of horses)","If you'reflighty, you're flaky and a little bit thoughtless.Flightypeople change their minds and plans at the drop of a hat.","=fickle-minded 指人：轻浮的，性格／思想：变化无常的；指马：无法预测的亢奋","Flighty people are unreliable and irresponsible â they often forget appointments, show up late, and change their minds about important things at the last minute. If you need help with something important, don't count on a flighty person for help. The original meaning offlighty, in the 1500's, was ""swift"" or ""speedy."" By the late 1700's, it had come to mean ""fickle or frivolous,"" and was often used to describe skittish horses."
capricious,"1. determined by chance or impulse or whim rather than by necessity or reason
2. changeable","Capriciousis an adjective to describe a person or thing that's impulsive and unpredictable, like a bride who suddenly leaves her groom standing at the wedding altar.",指人或天气：变化多端的,"You can criticize a fickle-minded person ascapricious, but it could just as well describe quickly changing weather, as in ""capriciousspring storms."" It's the adjective form of the nouncaprice, which means a sudden change of mood.Capricemight come fromcapra, the Italian word for ""goat"" (because goats are frisky), or fromcapo, ""head"" +riccio, ""hedgehog."" Why bring hedgehogs into it? If you have a ""hedgehog head,"" you are so scared that your hair is standing straight on end. A scared person makes sudden starts this way and that, just as a capricious person does."
loquacious,1. full of trivial conversation,"Aloquaciousperson talks a lot, often about stuff that only they think is interesting. You can also call them chatty or gabby, but either way, they'reloquacious.",指人：啰哩啰嗦的，说个不停的（贬义）,"Whenever you see the Latinloqu-, you can be sure that the word has something to do with ""talking."" So a loquacious person is a person who talks a lot, and often too much. Sitting next to a loquacious person at a dinner party can make dinner a real drag. Of course, if you've got nothing to say, a loquacious person might make a good dinner companion, because they'll do all the talking. All you will have to do is smile and eat."
burlesque,"1. a theatrical entertainment of broad and earthy humor; consists of comic skits and short turns (and sometimes striptease)
2. a composition that imitates or misrepresents somebody's style, usually in a humorous way
3. make a parody of
4. relating to or characteristic of a burlesque","In contemporary usage,burlesqueis a playfully nostalgic form of striptease — think fans and feather boas rather than explicit nudity — but this is just the latest form of an ironic style of entertainment dating back to medieval times.",带讽刺／夸大的滑稽剧,"Burlesquecomes fromburla, Spanish for ""joke."" Comedy has always been an essential part of burlesque art, but it's comedy of a particular kind. Burlesque is satirical, and it uses exaggeration that can be extreme. Early examples of burlesque in English literature can be found in the Canterbury Tales. By the eighteenth century, the word was used to describe often risqué parodies of serious operas or plays. Burlesque became associated with striptease in the music halls and vaudeville theaters of nineteenth-century America."
envisage,1. form a mental image of something that is not present or that is not the case,Martin Luther King Jr.envisageda time when black and white Americans would no longer be segregated by race. Toenvisageis to imagine something that does not yet exist.,想象某个尚未发生的事情,"The wordsenvisageand envision share the same Latin root meaning to see. Both words are very similar in meaning but do have slight shades of difference. If you envision something happening, you can see it happening in your mind. I'm sure you can envision yourself graduating from high school! If you envisage something, you can imagine it, but not necessarily see it. You can envisage world peace, but it may be harder to envision it."
pastiche,"1. a work of art that imitates the style of some previous work
2. a musical composition consisting of a series of songs or other musical pieces from various sources","The next time you see a movie that you think is a cheap imitation of an older, better movie, you can sound like a film critic by dismissing the picture as a thoughtlesspastiche.",指复制并混杂其他作品风格的艺术作品,"A pastiche is an artwork that copies the style of another work or that combines various, distinct styles together into one work. A pastiche can also be a musical medley, or the piecing together of various songs.Pastichecomes from the Italian wordpasticcio, which can refer to a pie containing a mix of ingredients, such as meat and pasta."
parody,"1. a composition that imitates or misrepresents somebody's style, usually in a humorous way
2. humorous or satirical mimicry
3. make a parody of
4. make a spoof of or make fun of","Aparodyis a humorous or mocking imitation of something, using the same form as the original. Toparodya poem, you have to write another poem.",带有讽刺的模仿（他人的动作）,"A parody is a form of humor that spoofs â or satirizes â something using the same form. For example, shows like ""Saturday Night Live"" and ""The Daily Show"" parody newscasts by doing fake newscasts that look like the real thing. Comedians and comedy writers love to parody the President. Anything in the public eye could be the object of a parody."
chronide,,,,
clandestine,1. conducted with or marked by hidden aims or methods,"Use the adjectiveclandestineto describe something that is done in secret, like yourclandestineattempts to steal your brother's Halloween candy.",暗中进行的政治／间谍活动,"Clandestine,an adjective imported from Latin, describes a secret, usually illegal activity. Often these things have to do with political and spy organizations. The CIA might run a clandestine operation to infiltrate terrorist organizations. Words with similar meanings includesecret;covert, used especially for military matters;undercover, common in espionage; andsurreptitiouswhich emphasizes a person's efforts to keep something secret."
apropos,"1. of an appropriate or pertinent nature
2. introducing a different topic; in point of fact
3. at an opportune time","Aproposmeans regarding or appropriate to, as in:Aproposof your interest in fishing, your grandfather gave you his set of championship lures, rods, reels and lucky tackle box.",,"Aproposis a useful word to learn. But first you have to know how to pronounce it: AP-rÉ-pĹ. Then you can conveniently change the subject of a conversation by using the expression ""Aproposof nothing,"" which is a glib way of saying, ""Oh, and by the way..."" If someone's remarks are suitable and appropriate to the occasion, you can get on their good side by saying:How apropos!"
straits,"1. a difficult juncture
2. a bad or difficult situation or state of affairs",,,
cagey,"1. characterized by great caution and wariness
2. showing self-interest and shrewdness in dealing with others",,指人：精明而谨慎的,
churlish,"1. having a bad disposition; surly
2. rude and boorish",Achurlishperson is one whose middle name might as well beRude. He’s the one who was never taught to mind his manners and avoid telling vulgar jokes at the dinner table.,指人：做事鲁莽的，粗俗的,"Churlishhas its origins in late Old English, but its modern-day meaning of “deliberately rude” developed in the 14th century. It’s a fitting adjective to describe boorish or surly behavior. It can also describe a material that is difficult to work with, such as hard wood that’s resistant to quick whittling. Our prolific pal Shakespeare coined the phrase, “as valiant as the lion,churlishas the bear.”"
pretense,"1. the act of giving a false appearance
2. pretending with intention to deceive
3. a false or unsupportable quality
4. an artful or simulated semblance
5. imaginative intellectual play","When you operate under apretense,you're not being honest. You're pretending. If you say you're going to a party because you’re eager to see your friend, but really you're just interested in the birthday cake, you’re acting onpretense.",acting on pretense = pretending,"Pretense involves deceiving on purpose, and it's usually something you shouldn’t be proud of. Under the pretense of being a college student, you might sneak into a library restricted to enrolled students. That’s dishonest and deceitful. But pretense isn’t always bad. You might not want to hurt your mother’s feelings, so you make a pretense of loving her tuna casserole, even though you’re trying not to gag on it."
arduous,"1. characterized by effort to the point of exhaustion; especially physical effort
2. difficult to accomplish; demanding considerable mental effort and skill
3. taxing to the utmost; testing powers of endurance",Use the adjectivearduousto describe an activity that takes a lot of effort. Writing all those college essays and filling out the applications is anarduousprocess!,需要极其努力才能完成的工作／过程,"Arduouswas first used in English to mean ""steep"" or ""difficult to climb."" If you're an outdoorsman, hiking up a mountain is a lot of fun, but if you're a couch potato, it's an arduous trek. Today, the word can be used figuratively for something that is difficult or takes a lot of work. If you spend an arduous week studying for your final exams, you'll do well because you've worked really hard!"
stave off,,,防止某事发生，防御某人,
punctilious,1. marked by precise accordance with details,Apunctiliousperson pays attention to details. Are you always precisely on time? Is your room perfectly neat? Do you never forget a birthday or a library book's due date? Then you are one of thepunctiliouspeople.,一丝不苟的,"The adjectivepunctilious, pronounced ""punk-TIL-ee-us,"" is related to the Italian wordpuntiglio, meaning ""fine point."" For someone who ispunctiliousno point is too fine, no detail too small, to be overlooked. The word is often used to describe people, but it can be used more broadly to apply to observations, behavior, or anything else that is characterized by close attention to detail."
mundane,"1. found in the ordinary course of events
2. concerned with the world or worldly matters
3. belonging to this earth or world; not ideal or heavenly","An ordinary, unexciting thing can be calledmundane: ""Superman hid his heroic feats by posing as hismundanealter ego, Clark Kent.""",平庸的，世俗的,"Mundane, from the Latin wordmundus, ""world,"" originally referred to things on earth. Such things were supposed to be uninteresting when compared to the delights of Heaven; hence the word's present meaning. Writing about reality TV shows, aNewsweekwriter opined, ""In reality bizarro-world, themundaneis presented as the spectacular"" â in other words, people's everyday routines are now televised as entertainment."
evanescent,1. tending to vanish like vapor,"A beautiful sunset, a rainbow, a wonderful dream right before your alarm clock goes off — all of these could be described asevanescent, which means “fleeting” or “temporary.”",转瞬即逝的,"Evanescentcomes from the Latinex, meaning ""out of,"" andvanescere, meaning ""to vanish."" When pronouncing this word, emphasize the third syllable and note that thecis silent. You might want to practice sayingevanescenta few times right now; if you stumble over pronunciation when you need this word the most, whatever you’re describing — be it a shooting star or a whiff of fragrant perfume — will be gone."
skullduggery,1. verbal misrepresentation intended to take advantage of you in some way,,指言语：欺骗性的,
insouciant,1. marked by blithe unconcern,"Only people with no real troubles can afford to beinsouciantduring times like these. Runway models are great at lookinginsouciant, strolling the catwalk apparently without a care in the world.",指人无所顾虑的,"Some prefer their musical idols to be insouciant, seeming not to care what their fans think or want. Others like them more eager to please, happy to take requests and engage. The two obvious examples are Louis Armstrong and Miles Davis. Armstrong would smile and encourage the audience to participate, while Davis was the insouciant master who showed no concern for or interest in what his listeners might prefer: some people found his insouciant manner irresistible."
limpid,"1. clear and bright
2. transmitting light; able to be seen through with clarity
3. (of language) transparently clear; easily understandable","The adjectivelimpiddescribes something (often liquid) that is clear, serene and bright. Nature calendars often feature glamour shots of alimpidstream or alimpidlake.","指溪流：清澈见底的 指语言：通俗易懂的","The adjectivelimpidmay also describe language that is easily understandable. Your teacher might ask you to give an answer in a single limpid sentence. But he probably won't becauselimpidis a word that's fallen out of use. Maybe because it sounds too much likelimp. Or maybe because it's associated with the king of all clichĂŠs: ""Her eyes were likelimpidpools."""
disperse,"1. move away from each other
2. distribute loosely
3. cause to separate
4. to cause to separate and go in different directions
5. cause to become widely known
6. separate (light) into spectral rays","To make a crowd at a partydisperse, you could take away the food, turn off the music and ask for volunteers to clean up.Disperseis to spread out people or things, making them move in different directions.",让一群人散开,"Imagine yourself standing on a basketball court holding a cup packed tight with marbles. If you turn it over, the marbles will disperse across the floor, moving away from you in all directions. Another word for this isscatter. Don't confuse this word withdisburse, which means to distribute money. Remember that false friends disperse when you cease to disburse."
megalomania,1. a psychological state characterized by delusions of grandeur,"Megalomaniais a crazy hunger for power and wealth, and a passion for grand schemes. Comic book villains often suffer frommegalomania. Their plans are thwarted only by superheroes.",角逐权力和金钱的自大狂,"Megalomaniacomes from the Greekmegas(""great"") andmania(""madness""). It is a madness of greatness, but not a great kind of madness!Megalomaniacsin history: Alexander the Great, Genghis Khan, Napoleon Bonaparte, Josef Stalin, and maybe even the tycoon Donald Trump."
imperturbable,1. not easily perturbed or excited or upset; marked by extreme calm and composure,"If you'reimperturbableyou are not easily upset. If your goal is to beimperturbable, then you can't let things bother you or get you stressed, confused, or angry.",指人：不易被激动的; 稳得一逼,"The adjectiveimperturbableis the flip side ofperturbable, which comes fromperturb, which in turn traces back to the Latin wordperturbare, meaning “to confuse” or “to disturb.” If something really annoying is going on, like one neighbor is jack-hammering his driveway and another has a dog that's barking while you're trying to sleep because you were up all night studying and you really really need a nap, but you stay calm and don’t get upset, you are imperturbable."
divulge,1. make known to the public information that was previously known only to a few people or that was meant to be kept a secret,"If you've been sneaking around with your best friend's boyfriend, that's probably one secret you don't want todivulge, because revealing that tidbit of information will probably cut your friendship short.",泄露某人的秘密,"Divulgeoften precedes the wordsecret,because it means to reveal something, and that something is often of a personal or private nature. A gossip columnist's job is to divulge which celebrities are secretly dating and which ones have been caught in embarrassing situations. Although the word comes from the Latin word for making something public to the masses, it can also be used to describe information passed from one person to another. For example, a mother could divulge to her daughter that she was adopted."
premeditate,"1. consider, ponder, or plan (an action) beforehand
2. think or reflect beforehand or in advance","When you premeditate, you are planning ahead. While most people associate this word with crime, let's hope you can think of a better reason topremeditate— like buying groceries before a storm.",提前安排做某事,"When you meditate, you think deeply. The prefixpre- means “before,” so topremeditatemeans to think about a situation before you’ve jumped into it. If you’ve ever cooked a meal, you’ve premeditated the ingredients you need to get started. In a courtroom you’ll hear about ""premeditatedmurder,"" which means the accused killer planned out his crime and it wasn’t a crime of passion. Premeditating can be a good thing, but not when it involves murder."
overwrought,1. deeply agitated especially from emotion,"High in drama and lacking any emotional restraint,overwroughtis an adjective that means deeply, excessively agitated or nervous.",极度情绪化的,"Say your favorite soap star gets killed off in episode 12. If you sob uncontrollably, tear at your hair, and refuse to leave the couch for a week, most would say your response was overwrought â in other words, a bit much. But it's not just emotions that can go over the top. The gaudy, golden McMansion covered in ornate Italian statuary where your soap star lives in real life? Totally overdone, or overwrought, with details."
conflate,1. mix together different elements,"Conflateis a more formal way to say ""mix together."" You probably wouldn't say youconflatedthe ingredients for a cake, but if you blended two different stories together to make a new one,conflatewould work.",将两个思想／故事／文章拼合在一起,"The verbconflatecomes to us from the Latin wordconflare, which literally means ""to blow together."" So think of using this word when you want to talk about two things getting thrown together and combined. Things that have been conflated often seem mixed up or confused, as when you conflate two different ideas, taking parts of one and parts of another to build your own Frankenstein version of things."
compunction,1. a feeling of deep regret (usually for some misdeed),"When you feelcompunctionyou feel very, very sorry, usually for something you did to hurt someone or mess something up. When you feel nocompunction, you're not at all sorry.",悔恨，后悔,"The nouncompunctioncomes from the Latin verbcompungere, meaning “prick sharply.” When you feelcompunction, you feel a sharp prick of your conscience. The wordcompunctionis often used in the negative in phrases like “without compunction” or ""no compunction."" You might say that the burglar acted without compunction when he stole your baseball card collection."
portend,1. indicate by signs,"Portendmeans to show a sign that something calamitous is about to happen. The teetering, tottering, pile of fine china piled up after the dinner partyportendsan imminent crash of broken plates and dishes.",预示（某个重大/严重）事件的发生,"Portendis a verb warning of omens, or bad signs. Dark clouds rumbling in over a county fair in Kansas portend the thunderstorm and even tornado that is likely to ruin the festivities.Portendis a helpful way for authors to foreshadow dark events ahead in their stories."
offset,"1. a compensating equivalent
2. the time at which something is supposed to begin
3. a natural consequence of development
4. compensate for or counterbalance
5. make up for
6. a plate makes an inked impression on a rubber-blanketed cylinder, which in turn transfers it to the paper
7. produce by offset printing
8. cause (printed matter) to transfer or smear onto another surface
9. structure where a wall or building narrows abruptly
10. create an offset in
11. a horizontal branch from the base of plant that produces new plants from buds at its tips","When youoffsetsomething—say, the price of gas—you find a way to make up for it. My new car's ability to get fifty miles per gallonoffsetthe rise in the price of gas.Offsetfunctions as both a noun and a verb.",抵消某个效应／结果的发生,"Okay, let's talk turkey. The Duke's lack of height wasoffsetby his enormous wig. Even without shoes, he towered above most people, because his wig alone was five feet tall. The cost of the wig—close to $10,000—was easily offset by its quality: it was worth every cent. The inconvenience of the blizzard was offset by the joy of not having to go to school or work—or even get out of bed. The joy was what you might call an offset."
murky,"1. (of liquids) clouded as with sediment
2. dark or gloomy","Something that'smurkyis dim, gloomy or hard to see through clearly. Think of the dark fog around a haunted house or the cloudy, muddy water in a swamp.",含糊不清的,"Rarely used before the 17th century, this adjective came about by adding a ""y"" to the wordmurk.Murkitself evolved frommyrkr, a Norse word for ""darkness.â Things that are murky are unclear; that goes for murky, sediment-filled lakes, shady business deals, and arguments that don't seem to make any sense."
dour,"1. showing a brooding ill humor
2. stubbornly unyielding
3. harshly uninviting or formidable in manner or appearance","Dourdescribes something sullen, gloomy, or persistent. You might lookdouron your way to picking up your last check from the job you just got fired from, and people should get out of your way.","=sullen 面色阴沉的","Dourandenduremost likely come from the Latin wordduruswhich means ""hard."" If something is hard to endure for a long enough time, it can make even the most happy-go-lucky persondour.Doursounds likesour(or closer to ""do-er""). It's a tomato/tamahto word, but either way â if you're in a sour mood, you have no sense of humor, and you'redour."
mirthful,"1. full of or showing high-spirited merriment
2. arousing or provoking laughter",,"=amusement 欢快的, mirthful laughter",
jovial,1. full of or showing high-spirited merriment,"Usejovialto describe people who show good humor and are full of joy. Santa Claus, with his constant ""ho-ho-hoing"" is ajovialfigure.",欢乐而且开心的,"Jocoseandjocularare similar words, but they refer more to things that actually cause laughter.Jovialis from Middle French, from Late Latinjovialis""relating to Jupiter, the ancient Roman god of the sky,"" fromJupiter""Jupiter"" plus the Latin prefix-alis""relating to."" In astrology, people born under the sign of Jupiter are joyful."
tepid,"1. moderately warm
2. feeling or showing little interest or enthusiasm","Tepidmeans lukewarm or half-hearted. If the applause for your mime-on-a-unicycle performance was moretepidthan enthusiastic, it might be time to find a new hobby.",不太热情的,"Around 1400, the wordtepidevolved from the Latintepidus, an adjective meaning “lukewarm,” which before that came about from the Latintepere, a verb meaning “to be warm.”Tepidpeople or things are lukewarm or lacking in enthusiasm or emotion. Bathwater that’s been sitting in the tub for two hours is probably tepid. So was the hug you gave your least favorite ex when you ran into him at the movie theater."
lugubrious,1. excessively mournful,"Funerals arelugubrious. So are rainy days and Mondays. Anything that makes you sad, gloomy, or mournful can be calledlugubrious.","=gloomy=mournful 极度悲伤的","Lugubriouscomes from the Latin verblĹŤgÄre, ""to mourn."" You can also listen to the sound of the word:lugubrioussounds slow, heavy, and sad. Sometimes, just the ""feel"" of a word is enough to clue you in to its meaning, andlugubriousis one of those words. I was feeling great when I got to the concert, but the lugubrious music left me in a terrible mood."
forbearance from,,,克己,
lucidity,"1. free from obscurity and easy to understand; the comprehensibility of clear expression
2. a lucid state of mind; not confused","A good word definition should be characterized by itslucidity, or clarity. In other words, it should be clear and easy to understand — like this one.",1. (思想、风格等的)明晰，明白，清楚 clearness of thought or style,"Luciditycomes from the Latinlucidusmeaning ""light, bright, clear."" Certainly when something is light, bright, and clear, it's ripe with the quality of lucidity. An easy-to-read textbook is characterized by lucidity.  A person too can possess a quality of lucidity, one that would allow her to express ideas as clearly as possible."
expedient,"1. appropriate to a purpose; practical
2. serving to promote your interest
3. a means to an end; not necessarily a principled or ethical one","The adjectiveexpedientdescribes something that provides an easy way to achieve a goal or result, but it's not necessarily a moral solution.",（通常指行为或计划）权宜但不一定合适的,"Politically expedientmeans something you do to advance yourself politically. Useexpedientwhen you want to hint that a particular solution or strategy has certain benefits and advantages but is not completely fair. However,expedientcan also be used as a noun to describe something practical for a particular purpose."
dictum,"1. an authoritative declaration
2. an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding","""You are what you eat"" is adictum, and so is a law requiring you to curb your dog. Adictumis a formal pronouncement, a rule, or a statement that expresses a truth universally acknowledged.",正式公告,"Dictumdates from the 16th Century. It descended from a Latin word that means ""something said."" In contemporary use, it means more like ""something that is officially said."" If the principal of your school issues a dictum declaring ""no jeans in school,"" it's time to go shopping."
taxing,1. not easily borne; wearing,,费力的，繁重的,
meander,"1. move or cause to move in a sinuous, spiral, or circular course
2. an aimless amble on a winding course
3. a bend or curve, as in a stream or river","Tomeandermeans to wander aimlessly on a winding roundabout course. If you want some time to yourself after school, you might meander home, taking the time to window shop and look around.",指一场演讲：漫无目的地进行着,"Meandercomes from a river in modern-day Turkey, the Maiandros, which winds and wanders on its course. Today, a stream or a path meanders, as does a person who walks somewhere in a roundabout fashion. If your speech meanders, you don't keep to the point. It's hard to understand what your teacher is trying to impart if he keeps meandering off with anecdotes and digressions. Pronouncemeanderwith three syllables not two â me-AN-der."
anomalous,1. deviating from the general or common order or type,"Something that deviates from the norm isanomalous. Somethinganomalouscan be good, such as an exciting new direction in music or art. But thatanomalouslylow score on your math test? Not so good.",,"To find the origins of the wordanomalouswe can go back to the Greekanášmalos,  meaning ""uneven or irregular."" Something that is anomalous is not just different; it is also unexpected, and may even be completely inconsistent with the norm. For example, the recent discovery of ice, and therefore water, on the moon was anomalous to all previous ideas that the moon was lifeless.


."
hamstring,"1. one of the tendons at the back of the knee
2. cripple by cutting the hamstring
3. make ineffective or powerless",,使无能为力 to make ineffective or powerless : cripple,
bighearted,1. given or giving freely,,不小气的；大方的,
manic,1. affected with or marked by frenzy or mania uncontrolled by reason,"Manicmeans frenzied. If you drink 18 cups of coffee in a single sitting and haven't slept for three days, chances are you'remanic.","~maniac = lost one’s mind 狂躁的","Ifmanicsounds likemaniacto you, you're on the right track. Someone who is in a manic state is affected by mania. If you're manic you're in a wound-up, fast-acting, unhinged wild state. People with bi-polar disorder experience manic highs and terrible lows. Other things can be manic, like the pace of city life, or the insane outfit you're wearing with seven different colors and eight different patterns. Have you lost your mind?"
inflammatory,"1. arousing to action or rebellion
2. characterized or caused by inflammation","In medical terms, something that isinflammatorycauses a local reaction that shows up by swelling, heat, pain, and redness. If you are stung by a bee, you may have an acuteinflammatoryreaction to the sting.",指演讲：煽动性的,"The nouninflammatoryalso refers to something that excites anger, violence, rebellion, or similar strong emotions. In this case, the noun usually refers to speech or writing. If you are a politician,inflammatoryspeeches may be one tool you use to incite your constituents to vote against the corruption of your opponent. After all, a stirring speech about rights people may lose if an election goes a certain way is more likely to get out the vote than a more understated discussion."
pedestrian,"1. a person who travels by foot
2. lacking wit or imagination","Apedestrianis someone traveling by foot. If you're walking, you might get angry at the drivers who don't stop so you can cross the street. But if you're driving, you might fight the urge to run over those annoyingpedestrians!",缺乏想象力的，无聊的,"Pedestriancomes from the Latinpedestermeaning ""going on foot"" but also ""plain."" As a noun, it's someone walking around â sidewalks are for pedestrians. As an adjective it means ""lacking wit or imagination."" If someone calls your new poem pedestrian, they mean it's dull. If you want to impress your friends while also making them feel worthless, mutter ""these people are SO pedestrian,"" at a party, loud enough for everyone to hear."
