,0
2013,disown
2014,strident
2015,stringency
2016,utopia
2017,arrogance
2018,demonization
2019,animus
2020,mitigation
2021,sloth
2022,extrapolation
2023,facet
2024,brushstroke
2025,disclose
2026,embryonic
2027,vociferous
2028,anew
2029,impasse
2030,dissident
2031,muddle
2032,incite
2033,foreground
2034,dissemble
2035,upshot
2036,predate
2037,conflate
2038,dissension
2039,perish
2040,embody
2041,intoxicated
2042,impress
2043,obtuseness
2044,furtively
2045,tranquil
2046,flippant
2047,abhor
2048,apropos
2049,acerbic
2050,tenure
2051,abomination
2052,propitious
2053,fawn
2054,a priori
2055,totemic
2056,querulous
2057,abeyant
2058,garrulity
2059,astuteness
2060,noteworthy
2061,autocratic
2062,slump
2063,usage
