序号,section,题号,单词,音标,释义,Unnamed: 6,Unnamed: 7
,,,,,2. 教条的 of or relating to dogma,,
803.0,S22,Q2,arcane,[ɑrˈken],神秘的；晦涩难解的 secret or mysterious : known or understood by only a few people,,
804.0,S22,Q3,averse,[əˈvɝs],不喜欢，反感  having an active feeling of repugnance or distaste,,
805.0,S22,Q3,parochialism,[pə'rəukjəlizəm],"狭隘主义 limited in range or scope (as to a narrow area or region) : provincial , narrow",,
806.0,S22,Q3,empiricism,[ɪmˈpɪrɪsɪzəm],实证主义 the practice of basing ideas and theories on testing and experience,,
807.0,S22,Q3,purport,[pərˈpɔːrt],标榜，（虚假的）声称  to claim to be or do a particular thing when this claim may not be true,,
808.0,S22,Q4,design,[dɪˈzaɪn],故意 deliberate purposive planning,,
809.0,S22,Q4,erratic,[ɪˈrætɪk],"难以预测的，不稳定的 acting , moving , or changing in ways that are not expected or usual :not consistent or regular",,
810.0,S22,Q4,erudite,[ˈɛrudaɪt],博学的 having or showing great academic knowledge,,
811.0,S22,Q5,surfeit,[ˈsɜːrfɪt],过多的，多余的 an overabundant supply : excess,,
812.0,S22,Q5,conundrum,[kəˈnʌndrəm],难题 a confusing or difficult problem,,
813.0,S22,Q5,forestall,[fɔːrˈstɔːl],1.预先阻止 to stop something from happening or to cause something to happen at a latertime,,
,,,,,2.在…之前行动，比…先采取行动 : to get ahead of : anticipate,,
814.0,S22,Q5,forgo,[fɔrˈɡo],放弃 to give up the use or enjoyment of something,,
815.0,S22,Q5,revelation,[ˈrɛvəˈleʃən],揭露出来的真相 A revelation is a surprising or interesting fact that is made known to people.,,
816.0,S22,Q6,trivial,[ˈtrɪvɪəl],不重要的 not important,,
817.0,S22,Q6,simultaneous,[ˌsaɪmlˈtenɪəs],同时发生的 happening at the same time,,
818.0,S22,Q6,superficial,[ˌsupɚˈfɪʃl],1.浅显的，肤浅的 concerned only with what is obvious or apparent : not thorough orcomplete,,
,,,,,2.表面的 affecting only the outer part or surface of something: not deep or serious,,
819.0,S22,Q6,transparent,[trænsˈpærənt],1.透明的 able to be  seen through,,
,,,,,2.易懂的; 显而易见的 easy to notice or understand,,
820.0,S22,Q6,resilience,[rɪˈzɪliəns],"1. 恢复力 the ability to become strong, healthy, or successful again after something badhappens",,
,,,,,"2. 弹性 the ability of something to return to its original shape after it has been pulled,stretched, pressed,bent,etc",,
821.0,S22,Q7,preclude,[prɪˈklud],阻止  to prevent something from happening,,
822.0,S22,Q7,elicit,[ɪˈlɪsɪt],引出，得出 to draw forth or bring out something latent or potential,,
823.0,S22,Q7,bar,[bɑr],阻止 to prevent or forbid someone from doing something,,
824.0,S22,Q8,gigantic,[dʒaɪˈɡæntɪk],巨大的 extremely large,,
825.0,S22,Q8,mitigate,[ˈmɪtɪɡeɪt],"缓和,减轻 to make something less evere, harmful, or painful : alleviate",,
826.0,S22,Q8,undercut,[ˌʌndɚˈkʌt],削弱 to make something weaker or less effective,,
827.0,S22,Q9,rudimentary,[ˌruːdɪˈmentri],1.基本的 basic or simple,,
,,,,,2.发育不完全的，未成熟的 not very developed or advanced,,
828.0,S22,Q9,primitive,[ˈprɪmətɪv],1.简单的，基本的 very basic and simple,,
,,,,,1. 食物不新鲜的 of food : no longer good or appealing : no longer freshrudimentary,,
829.0,S22,Q10,conjure,[ˈkʌndʒɚ],使想起 to make you think of something,,
830.0,S22,Q10,strip away,[strɪp] [əˈweɪ],"1. 普通的，平淡的 of a commonplace or repetitious character : ordinarything, means to remove it completely.",,
831.0,S23,Q1,deceptive,[dɪˈsɛptɪv],欺骗的  tending or having power to deceive : misleading,,
832.0,S23,Q2,chronological,[ˌkrɑnəˈlɑdʒɪkl],按时间顺序排列的 arranged in the order that things happened or came to be,,
833.0,S23,Q2,paucity,[ˈpɔːsəti],缺乏，少量 a small number of something,,
834.0,S23,Q3,genuine,[ˈdʒɛnjʊɪn],"1. 真正的 actual, real, or true : not false or fake",,
,,,,,2. 真诚的 sincere and honest,,
835.0,S23,Q3,halfhearted,"['hɑːf,hɑːtɪd]",无兴趣的 feeling or showing a lack of interest or enthusiasm,,
836.0,S23,Q4,pertinent,[ˈpɝtnənt],相关的 having a clear decisive relevance to the matter in hand,,
837.0,S23,Q4,inevitable,[ɪnˈɛvɪtəbl],不可避免(发生)的，必然(发生)的 sure to happen,,
838.0,S23,Q4,condemn,[kənˈdɛm],1.谴责 to say in a strong and definite way that someone or something is bad or wrong,,
,,,,,2.判罪 to give someone a usually severe punishment1. 放大，增大 to make something greaterconditions,,
,第 65 页,版权所有，违者必究,,,未经作者允许，禁止任何个人或机构把本词表用于商业目的,,
839.0,S23,Q4,condone,[kənˈdon],默许，纵容 to give or approve something that is considered wrong : to allow something thatis considered wrong to continue,,
840.0,S23,Q4,shortcut,[ˈʃɔrtˌkʌt],捷径 a quicker or easier way to do something,,
841.0,S23,Q4,static,[ˈstætɪk],"静止的，不变的 showing little or no change, action, or progress : stationary",,
842.0,S23,Q5,inert,[ɪˈnɜːrt],1. 迟缓的 very slow to move or act : sluggish,,
,,,,,2. 不能动的 unable to move,,
843.0,S23,Q5,jubilant,[ˈdʒubɪlənt],欢乐的，高兴的 very happy : exultant,,
844.0,S23,Q5,sensuous,[ˈsenʃuəs],感觉上的 affecting the senses in a pleasing way,,
845.0,S23,Q5,enervated,[ˈenəˌveɪtɪd],疲倦的; 衰弱的 tired and weak,,
846.0,S23,Q5,circumscribe,[ˈsɜːrkəmskraɪb],限制 to limit the size or amount of something,,
847.0,S23,Q5,foreground,[ˈfɔrɡraʊnd],1. 前景 the part of a scene or picture that is nearest to and in front of the viewer,,
,,,,,2. 最显著的位置 a position of prominence : forefront,,
848.0,S23,Q5,circumvent,[ˌsɜːrkəmˈvent],"1.〔尤指巧妙或不诚实地〕回避，规避〔含贬义〕to avoid a problem or rule that restricts you,especially in a clever or dishonest way—used to show disapproval",,
,,,,,"1.〔尤指巧妙或不诚实地〕回避，规避〔含贬义〕to avoid a problem or rule that restricts you,especially in a clever or dishonest way—used to show disapprovaltravelling",,
849.0,S23,Q6,brushstroke,[brʌʃstrəʊk],(画笔的)一画 Brushstrokes are the marks made on a surface by a painter's brush.,,
850.0,S23,Q6,proselytizer,[ˈprɑːsələtaɪz],改变宗教信仰者,,
851.0,S23,Q6,import,['ɪmpɔt],relative importance or meaning of something（霍叔叔提示：把这个 import 单词加进去，是因为 import 这个词在这道题目里的意思不是大家所熟知“进口”，是“重要性”的意思）,,
852.0,S23,Q6,sage,[sedʒ],智者 a man revered for his profound wisdom,,
853.0,S23,Q6,flamboyant,[flæmˈbɔɪənt],炫耀的，显眼的 having a very noticeable quality that attracts a lot of attention,,
854.0,S23,Q6,overwhelm,[ˌovɚˈwɛlm],1. (强烈地影响而) 使不知所措 to affect someone very strongly,,
,,,,,2. 打败 to defeat someone or something completely,,
,,,,,3. 淹没 to cover over completely : submerge,,
855.0,S23,Q7,intelligible,[ɪn'tɛlɪdʒəbl],（言语，文章，想法） 容易理解的 Something that is intelligible can be understood.,,
856.0,S23,Q7,orthodox,[ˈɔrθədɑks],1. 正统的 accepted as true or correct by most people : supporting or believing what mostpeople think is true,,
,,,,,2. 传统的 traditional,,
857.0,S23,Q7,readable,['ridəbl],"可读性强的，读起来有趣的 interesting and enjoyable to read, and easy to understand",,
858.0,S23,Q8,accession（to）,[ækˈseʃn],1. 同意  the act of agreeing to a demand formal,,
,,,,,1. 食物不新鲜的 of food : no longer good or appealing : no longer freshposition,,
,,,,,3. 增加 something added : acquisition,,
859.0,S23,Q8,subversion,[səbˈvɜːʃn],颠覆 the act of subverting,,
860.0,S23,Q8,repudiation,[rɪˌpjuːdiˈeɪʃn],拒绝，驳斥 the act of repudiating,,
861.0,S23,Q8,acquiescent,[ˌækwiˈesnt],默许的 tending to accept or allow what other people want or demand,,
862.0,S23,Q8,slumber,[ˈslʌmbɚ],"v/n 睡觉 sleep : 以睡觉来打发/消除  slumber (through, out, away)",,
863.0,S23,Q8,fatiguing,[fəˈtiːɡɪŋ],令人疲惫的 make you feel extremely physically or mentally tired,,
864.0,S23,Q9,somnolent,[ˈsɑːmnələnt],昏昏欲睡的 tired and ready to fall asleep,,
865.0,S23,Q9,impartial,[ɪmˈpɑrʃəl],公平公正的 treating all people and groups equally : not partial or biased,,
866.0,S23,Q9,lethargic,[ləˈθɑːdʒɪk],1. 没精打采的 feeling a lack of energy or a lack of interest in doing things,,
,,,,,"2. 冷淡的 indifferent, apathetic",,
867.0,S23,Q9,laconic,[ləˈkɑːnɪk],言简意赅的 using few words in speech or writing,,
868.0,S23,Q9,befuddled,[bɪˈfʌdld],"困惑的 confused, perplexed",,
869.0,S24,Q1,inveterate,[ɪnˈvɛtərət],1.根深蒂固的 firmly established long persistence,,
,,,,,2. 习惯性的 confirmed in a habit : habitual,,
870.0,S24,Q1,routine,[rʊˈtin],1. 普通的，平淡的 of a commonplace or repetitious character : ordinary,,
,,,,,"2. 常规的 done or happening as a normal part of a job, situation, or process",,
871.0,S24,Q1,conjectural,[kənˈdʒektʃərəl],(无根据的）推测的 an opinion or idea formed without proof or sufficient evidence,,
872.0,S24,Q2,harrowing,[ˈhæroʊɪŋ],折磨人的 extremely upsetting or disturbing,,
873.0,S24,Q2,derivative,[dəˈrɪvətɪv],缺乏创新的 lacking originality : banal,,
874.0,S24,Q2,implausible,[ɪmˈplɔːzəbl],不可能真实的，难以置信的 difficult to believe and therfore unlikely to be true,,
875.0,S24,Q3,naïve,[naɪˈiːv],天真 having or showing a lack of experience or knowledge : innocent or simple,,
876.0,S24,Q3,premeditate,[prɪˈmedəˌteɪt],"预先考虑 to think, consider, or deliberate beforehand",,
877.0,S24,Q3,manipulate,[məˈnɪpjulet],巧妙地处理 to manage or utilize skifully,,
878.0,S24,Q3,theatrics,[θɪ'ætrɪks],"1. 扰乱; 使混乱 to stir up : disturb, disorderstage and are intended to attract attention",,
879.0,S24,Q3,balanced,['bælənst],"全面公正的 A balanced report, book, or other document takes into account all the differentopinions on something and presents information in a fair and reasonable way.",,
880.0,S24,Q4,hidebound,[ˈhaɪdbaʊnd],死板的，保守的 not willing to accept new or different ideas,,
881.0,S24,Q4,embolden,[ɪmˈboʊldən],使有胆量; 使有信心 to make someone more confident,,
882.0,S24,Q5,contemplate,[ˈkɑntəmplet],"沉思 to think deeply : ponder, meditate",,
883.0,S24,Q5,lambaste,[læmˈbeɪst],严厉批评 to criticize someone or something very harshly : censure,,
884.0,S24,Q6,lucrative,[ˈlukrətɪv],有利可图的 producing wealth : profitable,,
885.0,S24,Q6,esteem,[ɪˈstim],尊敬 respect and affection,,
886.0,S24,Q6,impulsive,[ɪmˈpʌlsɪv],冲动的 doing things or tending to do things suddenly and without careful thought,,
887.0,S24,Q6,stale,[stel],1. 食物不新鲜的 of food : no longer good or appealing : no longer fresh,,
,,,,,2.（地方、活动、主意) 乏味的，缺乏新鲜感的  not interesting or new : boring or unoriginal,,
888.0,S24,Q7,entail,[ɪnˈtel],1. 难以捕捉的 hard to find or captureinvolve，include,,
889.0,S24,Q7,antithetical,[ˌæntɪˈθɛtɪkl],对立的 directly opposite or opposed,,
890.0,S24,Q7,coincident,[koʊˈɪnsɪdənt],1. 同时发生的 happening at the same time,,
,,,,,2. 一致的，相似的 of similar nature ： harmonious,,
891.0,S24,Q7,antecedent,[ˌæntɪˈsiːdnt],"祖先 predecessor, ancestor",,
892.0,S24,Q8,bypass,[ˈbaɪpæs],1. 忽视 to neglect or ignore usually intentionally,,
,,,,,2. 绕开，回避 circumvent,,
893.0,S24,Q8,exacerbate,[ɪɡˈzæsərbeɪt],"恶化 to make a bad situation, a problem, etc. worse",,
894.0,S24,Q8,circumvent,[ˌsɜːrkəmˈvent],"1.〔尤指巧妙或不诚实地〕回避，规避〔含贬义〕to avoid a problem or rule that restricts you,especially in a clever or dishonest way—used to show disapproval",,
,,,,,2〔改道〕绕开，避开〔某物〕to avoid something by changing the direction in which you aretravelling,,
895.0,S24,Q9,evanescence,"[,iːvə'nesəns]",短暂 evanescent quality,,
896.0,S24,Q9,transience,[ˈtrænziəns],短暂 the quality or state of being transient,,
897.0,S24,Q9,magnify,[ˈmæɡnɪfaɪ],1. 放大，增大 to make something greater,,
,,,,,2. 夸大 exaggerate,,
,,,,,"3. 赞美 extol, laud",,
898.0,S24,Q9,demise,[dɪˈmaɪz],"死亡 die, decease",,
899.0,S24,Q10,shackle,[ˈʃækl],"束缚 impede, hamper",,
900.0,S24,Q10,admonish,[ədˈmɑnɪʃ],告诫 to speak to someone in a way that expresses disapproval or criticism,,
901.0,S24,Q10,stifle,[ˈstaɪfl],"抑制，镇压 to not allow yourself to do or express something：deter, discourage",,
902.0,S25,Q1,sparse,[spɑrs],稀疏的 present only in small amounts : meager,,
903.0,S25,Q1,teem,[tim],挤满 to become filled to overflowing : abound,,
904.0,S25,Q1,roil,[rɔɪl],"1. 扰乱; 使混乱 to stir up : disturb, disorder",,
,,,,,2. 惹怒，激怒 to cause someone or something to become very agitated or disturbed,,
905.0,S25,Q1,ebb,[ɛb],衰退 to get worse,,
906.0,S25,Q2,barring,[ˈbɑːrɪŋ],除…...之外 other than someone or something : excepting,,
907.0,S25,Q2,ridicule,[ˈrɪdɪˈkjʊl],嘲笑 to make fun of,,
908.0,S25,Q2,underrate,[ˌʌndəˈreɪt],低估 undervalue,,
909.0,S25,Q2,embellish,[ɪmˈbelɪʃ],装饰 to make beautiful with ornamentation : decorate,,
910.0,S25,Q3,anthropogenic,[ˌænθrəpəˈdʒɛnɪk],"人为的，人类起源的 of, relating to, or resulting from the influence of human beings on nature",,
911.0,S25,Q4,disseminate,[dɪˈsɛmɪnet],散布，传播 to disperse throughout,,
912.0,S25,Q4,molder,[ˈmoʊldər],"腐朽；崩塌 to crumble into particles : disintegrate, decay",,
913.0,S25,Q4,indifference,[ɪnˈdɪfrəns],冷漠 lack of interest in or concern about something,,
914.0,S25,Q5,rote,[rot],1. 死记硬背 the use of memory usually with little intelligence,,
,,,,,2. 机械，死板 mechanical or unthinking routine or repetition,,
915.0,S25,Q6,elusive,[ɪˈlusɪv],1. 难以捕捉的 hard to find or capture,,
,,,,,"2. 难以理解的 hard to understand, define, or remember",,
916.0,S25,Q6,scrutiny,[ˈskrutəni],"仔细观察 a searching study, inquiry, or inspection : examination",,
917.0,S25,Q6,censure,[ˈsɛnʃɚ],谴责，批评 to officially criticize someone or something strongly and publicly,,
918.0,S25,Q7,hierarchical,[ˌhaɪəˈrɑrkɪkl],"等级制度的 A hierarchical system or organization is one in which people have differentranks or positions, depending on how important they are.",,
919.0,S25,Q7,heterogeneous,[ˈhɛtərəˈdʒinɪəs],由不同成分形成的 made up of parts that are different,,
920.0,S25,Q7,stratified,[ˈstrætəˌfaɪd],"分层的 to form, deposit, or arrange in strata",,
921.0,S25,Q8,stagnation,[stægˈneʃən],"停滞 to stop developing, progressing, moving, etc. : to be or become stagnant",,
922.0,S25,Q8,recant,[rɪˈkænt],公开放弃 to withdraw or repudiate a statement or belief formally and publicly : renounce,,
923.0,S25,Q9,assert,[əˈsɝt],主张；声称 to state something in a strong and definite way,,
924.0,S25,Q10,encomium,[enˈkoʊmiəm],赞美 glowing and warmly enthusiastic praise,,
925.0,S25,Q10,tribute,[ˈtrɪbjut],"称赞，颂词 something that you say, give, or do to show respect or affection for someone :encomium",,
926.0,S26,Q1,dubious,[ˈdubɪəs],怀疑的，不确定的 unsure or uncertain : feeling doubt about something,,
927.0,S26,Q1,superfluous,[sʊˈpɝflʊəs],多余的，不必要的 beyond what is needed : not necessary,,
928.0,S26,Q2,aver,[əˈvɜːr],坚称 to say something in a very strong and definite way,,
929.0,S26,Q2,feign,[fen],假装 to pretend to feel or be affected by something,,
930.0,S26,Q2,avow,[əˈvaʊ],承认；公开宣称 to declare or state something in an open and public way,,
931.0,S26,Q3,exude,[ɪɡˈzuːd],"1. 充分显露; 洋溢 to show a quality, emotion, etc. very clearly or strongly",,
,,,,,2. 渗出，溢出 to produce a liquid or smell that flows out slowly,,
932.0,S26,Q3,deferential,[ˌdefəˈrenʃl],尊敬的 showing or expressing deference,,
933.0,S26,Q4,embargo,[ɪmˈbɑːrɡoʊ],贸易禁运 a government order that limits trade in some way,,
934.0,S26,Q5,languishing,[ˈlæŋgwɪʃɪŋ],"虚弱的 become feeble, weak, or enervated",,
935.0,S26,Q5,jettison,[ˈdʒɛtɪsn],"1. 丢弃 to drop something from a moving ship, airplane, etc.",,
,,,,,2. 拒绝 to get rid of something : to reject something,,
936.0,S26,Q6,rampant,[ˈræmpənt],猖獗的; 泛滥的 growing quickly and in a way that is difficult to control,,
937.0,S26,Q6,consolidate,[kənˈsɑlɪdet],1. 巩固 to make firm or secure : strengthen,,
,,,,,2. 合并 to join together into one whole : unite,,
938.0,S26,Q6,stimulant,[ˈstɪmjələnt],刺激物 stimulus,,
939.0,S26,Q6,concomitant,[kənˈkɑmətənt],相伴的，伴随的 happening at the same time as something else,,
940.0,S26,Q7,sloth,[sloθ],懒 the quality or state of being lazy,,
941.0,S26,Q7,apathy,[ˈæpəθi],1. 无感情 lack of feeling or emotion : impassiveness,,
,,,,,2. 漠不关心 lack of interest or concern : indifference,,
942.0,S26,Q8,majestic,[məˈdʒɛstɪk],庄严的，宏伟的 large and impressively beautiful,,
943.0,S26,Q8,august,[ˈɔːɡəst],庄严的；令人敬畏的 having a formal and impressive quality,,
944.0,S26,Q9,ephemeral,[əˈfɛmərəl],短暂的 lasting a very short time,,
945.0,S26,Q9,churn,[tʃɝn],搅动 to stir or mix something with force,,
946.0,S26,Q10,relish,[ˈrɛlɪʃ],享受 to enjoy or take pleasure in something,,
947.0,S27,Q1,avant-garde,[ˌævɑːˈɡɑːrd],先锋派,,
948.0,S27,Q1,flout,[flaʊt],嘲笑，轻视 to treat with contemptuous disregard : scorn,,
949.0,S27,Q1,illuminate,[ɪˈlumɪnet],阐明 to make something clear and easier to understand,,
950.0,S27,Q2,derivative,[dəˈrɪvətɪv],衍生的，不新颖的 made up of parts from something else : not new or original,,
951.0,S27,Q3,oblivious,[əˈblɪvɪəs],"1.  遗忘的 lacking remembrance, memory, or mindful attention",,
,,,,,2. 没意识到的 lacking active conscious knowledge or awareness,,
952.0,S27,Q4,eloquence,[ˈɛləkwəns],口才；雄辩 the ability to speak or write well and in an effective way,,
953.0,S27,Q5,mundane,[mʌnˈdeɪn],1.单调乏味的 dull and ordinary:boring,,
,,,,,2.尘世间的，世俗的 concerned with ordinary daily life rather than religious matters,,
954.0,S27,Q5,forgo,[fɔrˈɡo],放弃 to give up the use or enjoyment of something,,
955.0,S27,Q6,countermand,[ˈkaʊntərmænd],取消 to cancel an order especially by giving a new order,,
956.0,S27,Q6,incommensurate,[ˌɪnkəˈmenʃərət],不相称的 disproportionate,,
957.0,S27,Q6,parity,[ˈpærəti],平等 the quality or state of being equal or equivalent,,
958.0,S27,Q6,inclusive,[ɪnˈklusɪv],包括的，包含的 covering or including everything,,
959.0,S27,Q7,stratification,[ˌstrætɪfɪˈkeʃən],1. (社会的)阶层分化 the state of being divided into social classes,,
,,,,,2. 分层 the state of having many layers,,
960.0,S27,Q7,elucidate,[iˈluːsɪdeɪt],阐明，说明 to make something that is hard to understand clear or easy to understand,,
961.0,S27,Q7,obfuscate,[ˈɑːbfʌskeɪt],使混淆; 使困惑 to make something more difficult to understand : confuse,,
962.0,S27,Q8,disparity,[dɪˈspærəti],不同 difference,,
963.0,S27,Q8,variance,[ˈvɛrɪəns],"1. 争论，不和 the fact or state of being in disagreement : dissention, dispute",,
,,,,,"2. 变化，差异 the fact, quality, or state of being variable or variant : difference, variation",,
964.0,S27,Q9,protract,[proʊˈtrækt],延长 to prolong in time or space : continue,,
965.0,S27,Q9,novel,[ˈnɑːvl],新颖的，新奇的 new and different from what has been known before,,
966.0,S27,Q10,spurn,[spɜːrn],摒弃；藐视 to reject with disdain or contempt : scorn,,
967.0,S27,Q10,slippery,[ˈslɪpəri],狡猾的 not to be trusted : tricky,,
968.0,S27,Q10,elusive,[ɪˈlusɪv],1. 难以捕捉的 hard to find or capture,,
,,,,,"2. 难以理解的 hard to understand, define, or remember",,
969.0,S28,Q1,cataclysmic,[ˌkætəˈklɪzmɪk],"灾难的 causing great destruction, violence",,
970.0,S28,Q2,endemic,[ɛnˈdɛmɪk],growing or existing in a certain place or region,,
971.0,S28,Q2,from scratch,[frəm] [skrætʃ],从零开始，白手起家,,
972.0,S28,Q2,winnow,[ˈwɪnoʊ],"筛选; 遴选 separate, sift",,
973.0,S28,Q3,arcane,[ɑrˈken],神秘的；晦涩难解的 secret or mysterious : known or understood by only a few people,,
974.0,S28,Q4,provocative,[prəˈvɑkətɪv],"1. 引发讨论的 ，思考的，争论的 causing discussion, thought, argument, etc.  Provocativebook .",,
,,,,,1.简单的，基本的 very basic and simplepeople react angrily or argue against it.,,
975.0,S28,Q4,suggest,[səˈdʒɛst],启示，启发；促使做(或思考),,
976.0,S28,Q4,stipulate,[ˈstɪpjulet],规定; 明确要求 to demand or require something as part of an agreement,,
977.0,S28,Q5,trivial,[ˈtrɪvɪəl],不重要的 not important,,
978.0,S28,Q5,simultaneous,[ˌsaɪmlˈtenɪəs],同时发生的 happening at the same time,,
979.0,S28,Q5,superficial,[ˌsupɚˈfɪʃl],"1. (人) 肤浅的 If you describe someone as superficial, you disapprove of them because theydo not think deeply, and have little understanding of anything serious or important.",,
,,,,,2. 表面上的  concerned only with what is obvious or apparent : not thorough or complete,,
980.0,S28,Q5,peer,[pɪr],凝视，盯着看 to look narrowly or curiously,,
981.0,S28,Q5,cliquish,['klikɪʃ],"1. 遭遇 to have or experience problems, difficulties, etc.other people",,
982.0,S28,Q7,archaic,[ɑrˈkeɪk],"陈旧的，古老的 of, relating to , or more primitive time : antiquated",,
983.0,S28,Q8,vilify,[ˈvɪlɪfaɪ],诽谤，中伤 to say or write very harsh and critical things about someone or something,,
984.0,S28,Q8,stymie,[ˈstaɪmi],阻挠，妨碍 to present an obstacle to,,
985.0,S28,Q8,aggrieve,[əˈgriːv],使痛苦 to give pain or trouble to : distress,,
986.0,S28,Q9,apathetic,[ˌæpəˈθɛtɪk],没兴趣的 having little or interest or concern： indifferent,,
987.0,S28,Q9,fractious,[ˈfrækʃəs],1. 易怒的 full of anger and disagreement,,
,,,,,2. 难控制的，难驾驭的 causing trouble : hard to manage or control,,
988.0,S28,Q9,restive,[ˈrestɪv],倔强的，难驾驭的 stubbornly resisting control : balky,,
989.0,S28,Q9,cynical,[ˈsɪnɪkl],认为人皆自私的 believing that people are generally selfish and dishonest,,
990.0,S28,Q9,compliant,[kəmˈplaɪənt],顺从的 willing to do whatever you are asked or ordered to do : ready and willing to comply,,
991.0,S28,Q9,tractable,[ˈtræktəbl],易驾驭的，易控制的 easily managed or controlled,,
992.0,S28,Q10,rant,[rænt],1. 咆哮 to talk loudly and in a way that shows anger,,
,,,,,2. 痛骂 to scold vehemently,,
993.0,S28,Q10,diatribe,[ˈdaɪətraɪb],1.单调乏味的 dull and ordinary:boringor something,,
994.0,S28,Q10,exculpate,[ˈekskʌlpeɪt],为…开脱罪责，使无罪 to clear from alledged fault or guilt ： acquit，absolve,,
995.0,S28,Q10,disquisition,[ˌdɪskwɪˈzɪʃn],专题论文 a formal inquiry into or discussion of a subject : discourse,,
996.0,S28,Q10,vindication,[ˌvɪndɪˈkeɪʃn],得到辩护；证明无罪/正确 an act of vindicating : defense,,
997.0,S29,Q1,vapid,[ˈvæpɪd],无聊乏味的 not lively or interesting: dull or boring,,
998.0,S29,Q1,jejune,[dʒɪˈdʒuːn],无聊乏味的 not interesting,,
999.0,S29,Q1,didactic,[daɪˈdæktɪk],说教的 designed or intended to teach people something,,
1000.0,S29,Q1,dogmatic,[dɔːɡˈmætɪk],1. 自以为是的 expressing personal opinions or beliefs as if they are certainly correct andcannot be doubted,,
,,,,,2. 教条的 of or relating to dogma,,
1001.0,S29,Q1,arcane,[ɑrˈken],神秘的；晦涩难解的 secret or mysterious : known or understood by only a few people,,
1002.0,S29,Q2,grand,[ɡrænd],"1. 奢华的，华贵的，富丽堂皇的 rich and important ,lavish, sumptuous",,
,,,,,2. (建筑) 宏伟的 large and impressive in physical size or extent,,
,,,,,3.(计划等) 宏大的 Grand plans or actions are intended to achieve important results.,,
1003.0,S29,Q2,abstemious,[əbˈstimɪəs],节约的，节省的；有节制的 not eating and drinking too much,,
1004.0,S29,Q2,insouciance,[ɪnˈsuːsiəns],漫不经心 lighthearted unconcern : nonchalance,,
1005.0,S29,Q2,adjudicate,[əˈdʒuːdɪkeɪt],裁定 to make an official decision about who is right in a dispute,,
1006.0,S29,Q3,bog down,[bɑɡ] [daʊn],(使)陷入困境，使陷于停顿  to become impeded or stuck----usually used with down,,
1007.0,S29,Q3,adversary,[ˈædvɚsɛri],对手 an enemy or opponent,,
1008.0,S29,Q4,perish,[ˈpɛrɪʃ],"1. 毁坏,摧毁 to become destroyed or ruined.",,
,,,,,"2. (因恶劣条件或事故) 死亡 to die or be killed , especially in a terrible or sudden way",,
1009.0,S29,Q4,abstruse,[əbˈstrus],深奥难懂的 hard to understand : recondite,,
1010.0,S29,Q4,repetitious,[ˌrepəˈtɪʃəs],1. (思想、风格等的)明晰，明白，清楚 clearness of thought or styleunpleasant,,
1011.0,S29,Q5,encounter,[ɪnˈkaʊntɚ],"1. 遭遇 to have or experience problems, difficulties, etc.",,
,,,,,2. 邂逅 to meet someone without expecting or intending to,,
1012.0,S29,Q5,augment,[ɔɡˈmɛnt],1. 不利的，有害的 likely to cause damage or have a bad effectadding something to it.,,
1013.0,S29,Q5,debunk,[ˌdiːˈbʌŋk],曝光; 揭露...的真相 to show that something (such as a belief or theory) is not true,,
1014.0,S29,Q5,predate,[priːˈdeɪt],(日期上)早于; 先于 to exist or happen at an earlier time than something or someone,,
1015.0,S29,Q6,indiscretion,[ˈɪndɪˈskrɛʃən],轻率，不谨慎 lack of discretion : imprudence,,
1016.0,S29,Q7,reproach,[rɪˈprotʃ],责备; 指责 to speak in an angry and critical way to someone,,
1017.0,S29,Q7,deference,[ˈdefərəns],尊敬 a way of behaving that shows respect for someone or something,,
1018.0,S29,Q8,provocative,[prəˈvɑkətɪv],"1. 引发讨论的 ，思考的，争论的 causing discussion, thought, argument, etc.  Provocativebook .",,
,,,,,"2 挑衅的 If you describe something as provocative, you mean that it is intended to makepeople react angrily or argue against it.",,
1019.0,S29,Q8,exhilarating,[ɪɡˈzɪləretɪŋ],令人愉快的 make you feel very happy and excited,,
1020.0,S29,Q9,antagonize,[ænˈtæɡənaɪz],使 (某人) 对自己产生敌意 to cause someone to feel hostile or angry,,
1021.0,S29,Q9,pedestrian,[pəˈdɛstrɪən],"无聊乏味的，没有想象力的 not interesting or unusual : commonplace, unimaginative",,
1022.0,S29,Q9,mundane,[mʌnˈdeɪn],1.单调乏味的 dull and ordinary:boring,,
,,,,,2.尘世间的，世俗的 concerned with ordinary daily life rather than religious matters,,
1023.0,S29,Q10,delusive,[dɪˈluːsɪv],欺骗性的 likely to delude,,
1024.0,S29,Q10,sketchy,[ˈsketʃi],粗略的; 不完全的 not complete or clear,,
1025.0,S30,Q1,affable,[ˈæfəbl],友善的 friendly and easy to talk to,,
1026.0,S30,Q1,ebullient,[ɪˈbʌliənt],精力充沛的; 热情洋溢的 lively and enthusiastic,,
1027.0,S30,Q1,measured,[ˈmɛʒɚd],"慎重的 done with thought and care : deliberate , calculated",,
1028.0,S30,Q1,overwrought,[ˌoʊvərˈrɔːt],1. 安抚，平息 to soothe in temper or disposition : appeaseespecially from emotion,,
1029.0,S30,Q2,belie,[bɪˈlaɪ],1. 掩饰；与…不符 to give a false impression of,,
,,,,,2. 证明…为虚假 to show something to be false or wrong,,
