section,题号,单词,音标,释义
S24,Q3,theatrics,[θɪ'ætrɪks],戏剧化的言行；做作的举止  ways of behaving and speaking that are like a performance on a
,,,,stage and are intended to attract attention
S24,Q3,balanced,['bælənst],"全面公正的 A balanced report, book, or other document takes into account all the different"
,,,,opinions on something and presents information in a fair and reasonable way.
S24,Q4,hidebound,[ˈhaɪdbaʊnd],死板的，保守的 not willing to accept new or different ideas
S24,Q4,embolden,[ɪmˈboʊldən],使有胆量; 使有信心 to make someone more confident
S24,Q5,contemplate,[ˈkɑntəmplet],"沉思 to think deeply : ponder, meditate"
S24,Q5,lambaste,[læmˈbeɪst],严厉批评 to criticize someone or something very harshly : censure
S24,Q6,lucrative,[ˈlukrətɪv],有利可图的 producing wealth : profitable
S24,Q6,esteem,[ɪˈstim],尊敬 respect and affection
S24,Q6,impulsive,[ɪmˈpʌlsɪv],冲动的 doing things or tending to do things suddenly and without careful thought
S24,Q6,stale,[stel],1. 食物不新鲜的 of food : no longer good or appealing : no longer fresh
,,,,2.（地方、活动、主意) 乏味的，缺乏新鲜感的  not interesting or new : boring or unoriginal
S24,Q7,entail,[ɪnˈtel],"使必要，需要，导致 to have something as a necessary part, step, or result :  contain，"
,,,,involve，include
S24,Q7,antithetical,[ˌæntɪˈθɛtɪkl],对立的 directly opposite or opposed
S24,Q7,coincident,[koʊˈɪnsɪdənt],1. 同时发生的 happening at the same time
,,,,2. 一致的，相似的 of similar nature ： harmonious
S24,Q7,antecedent,[ˌæntɪˈsiːdnt],"祖先 predecessor, ancestor"
S24,Q8,bypass,[ˈbaɪpæs],1. 忽视 to neglect or ignore usually intentionally
,,,,2. 绕开，回避 circumvent
S24,Q8,exacerbate,[ɪɡˈzæsərbeɪt],"恶化 to make a bad situation, a problem, etc. worse"
S24,Q8,circumvent,[ˌsɜːrkəmˈvent],"1.〔尤指巧妙或不诚实地〕回避，规避〔含贬义〕to avoid a problem or rule that restricts you,"
,,,,especially in a clever or dishonest way—used to show disapproval
,,,,2〔改道〕绕开，避开〔某物〕to avoid something by changing the direction in which you are
,,,,travelling
S24,Q9,evanescence,"[,iːvə'nesəns]",短暂 evanescent quality
S24,Q9,transience,[ˈtrænziəns],短暂 the quality or state of being transient
S24,Q9,magnify,[ˈmæɡnɪfaɪ],1. 放大，增大 to make something greater
,,,,2. 夸大 exaggerate
,,,,"3. 赞美 extol, laud"
S24,Q9,demise,[dɪˈmaɪz],"死亡 die, decease"
S24,Q10,shackle,[ˈʃækl],"束缚 impede, hamper"
S24,Q10,admonish,[ədˈmɑnɪʃ],告诫 to speak to someone in a way that expresses disapproval or criticism
S24,Q10,stifle,[ˈstaɪfl],"抑制，镇压 to not allow yourself to do or express something：deter, discourage"
S25,Q1,sparse,[spɑrs],稀疏的 present only in small amounts : meager
S25,Q1,teem,[tim],挤满 to become filled to overflowing : abound
S25,Q1,roil,[rɔɪl],"1. 扰乱; 使混乱 to stir up : disturb, disorder"
,,,,2. 惹怒，激怒 to cause someone or something to become very agitated or disturbed
S25,Q1,ebb,[ɛb],衰退 to get worse
S25,Q2,barring,[ˈbɑːrɪŋ],除…...之外 other than someone or something : excepting
S25,Q2,ridicule,[ˈrɪdɪˈkjʊl],嘲笑 to make fun of
S25,Q2,underrate,[ˌʌndəˈreɪt],低估 undervalue
S25,Q2,embellish,[ɪmˈbelɪʃ],装饰 to make beautiful with ornamentation : decorate
S25,Q3,anthropogenic,[ˌænθrəpəˈdʒɛnɪk],"人为的，人类起源的 of, relating to, or resulting from the influence of human beings on nature"
S25,Q4,disseminate,[dɪˈsɛmɪnet],散布，传播 to disperse throughout
S25,Q4,molder,[ˈmoʊldər],"腐朽；崩塌 to crumble into particles : disintegrate, decay"
S25,Q4,indifference,[ɪnˈdɪfrəns],冷漠 lack of interest in or concern about something
S25,Q5,rote,[rot],1. 死记硬背 the use of memory usually with little intelligence
,,,,2. 机械，死板 mechanical or unthinking routine or repetition
S25,Q6,elusive,[ɪˈlusɪv],1. 难以捕捉的 hard to find or capture
,,,,"2. 难以理解的 hard to understand, define, or remember"
S25,Q6,scrutiny,[ˈskrutəni],"仔细观察 a searching study, inquiry, or inspection : examination"
S25,Q6,censure,[ˈsɛnʃɚ],谴责，批评 to officially criticize someone or something strongly and publicly
S25,Q7,hierarchical,[ˌhaɪəˈrɑrkɪkl],等级制度的 A hierarchical system or organization is one in which people have different
,,,,"ranks or positions, depending on how important they are."
S25,Q7,heterogeneous,[ˈhɛtərəˈdʒinɪəs],由不同成分形成的 made up of parts that are different
S25,Q7,stratified,[ˈstrætəˌfaɪd],"分层的 to form, deposit, or arrange in strata"
S25,Q8,stagnation,[stægˈneʃən],"停滞 to stop developing, progressing, moving, etc. : to be or become stagnant"
S25,Q8,recant,[rɪˈkænt],公开放弃 to withdraw or repudiate a statement or belief formally and publicly : renounce
S25,Q9,assert,[əˈsɝt],主张；声称 to state something in a strong and definite way
S25,Q10,encomium,[enˈkoʊmiəm],赞美 glowing and warmly enthusiastic praise
S25,Q10,tribute,[ˈtrɪbjut],"称赞，颂词 something that you say, give, or do to show respect or affection for someone :"
,,,,encomium
S26,Q1,dubious,[ˈdubɪəs],怀疑的，不确定的 unsure or uncertain : feeling doubt about something
S26,Q1,superfluous,[sʊˈpɝflʊəs],多余的，不必要的 beyond what is needed : not necessary
S26,Q2,aver,[əˈvɜːr],坚称 to say something in a very strong and definite way
S26,Q2,feign,[fen],假装 to pretend to feel or be affected by something
S26,Q2,avow,[əˈvaʊ],承认；公开宣称 to declare or state something in an open and public way
S26,Q3,exude,[ɪɡˈzuːd],"1. 充分显露; 洋溢 to show a quality, emotion, etc. very clearly or strongly"
,,,,2. 渗出，溢出 to produce a liquid or smell that flows out slowly
S26,Q3,deferential,[ˌdefəˈrenʃl],尊敬的 showing or expressing deference
S26,Q4,embargo,[ɪmˈbɑːrɡoʊ],贸易禁运 a government order that limits trade in some way
S26,Q5,languishing,[ˈlæŋgwɪʃɪŋ],"虚弱的 become feeble, weak, or enervated"
S26,Q5,jettison,[ˈdʒɛtɪsn],"1. 丢弃 to drop something from a moving ship, airplane, etc."
,,,,2. 拒绝 to get rid of something : to reject something
S26,Q6,rampant,[ˈræmpənt],猖獗的; 泛滥的 growing quickly and in a way that is difficult to control
S26,Q6,consolidate,[kənˈsɑlɪdet],1. 巩固 to make firm or secure : strengthen
,,,,2. 合并 to join together into one whole : unite
S26,Q6,stimulant,[ˈstɪmjələnt],刺激物 stimulus
S26,Q6,concomitant,[kənˈkɑmətənt],相伴的，伴随的 happening at the same time as something else
S26,Q7,sloth,[sloθ],懒 the quality or state of being lazy
S26,Q7,apathy,[ˈæpəθi],1. 无感情 lack of feeling or emotion : impassiveness
,,,,2. 漠不关心 lack of interest or concern : indifference
S26,Q8,majestic,[məˈdʒɛstɪk],庄严的，宏伟的 large and impressively beautiful
S26,Q8,august,[ˈɔːɡəst],庄严的；令人敬畏的 having a formal and impressive quality
S26,Q9,ephemeral,[əˈfɛmərəl],短暂的 lasting a very short time
S26,Q9,churn,[tʃɝn],搅动 to stir or mix something with force
S26,Q10,relish,[ˈrɛlɪʃ],享受 to enjoy or take pleasure in something
S27,Q1,avant-garde,[ˌævɑːˈɡɑːrd],先锋派
S27,Q1,flout,[flaʊt],嘲笑，轻视 to treat with contemptuous disregard : scorn
S27,Q1,illuminate,[ɪˈlumɪnet],阐明 to make something clear and easier to understand
S27,Q2,derivative,[dəˈrɪvətɪv],衍生的，不新颖的 made up of parts from something else : not new or original
S27,Q3,oblivious,[əˈblɪvɪəs],"1.  遗忘的 lacking remembrance, memory, or mindful attention"
,,,,2. 没意识到的 lacking active conscious knowledge or awareness
S27,Q4,eloquence,[ˈɛləkwəns],口才；雄辩 the ability to speak or write well and in an effective way
S27,Q5,mundane,[mʌnˈdeɪn],1.单调乏味的 dull and ordinary:boring
,,,,2.尘世间的，世俗的 concerned with ordinary daily life rather than religious matters
S27,Q5,forgo,[fɔrˈɡo],放弃 to give up the use or enjoyment of something
S27,Q6,countermand,[ˈkaʊntərmænd],取消 to cancel an order especially by giving a new order
S27,Q6,incommensurate,[ˌɪnkəˈmenʃərət],不相称的 disproportionate
S27,Q6,parity,[ˈpærəti],平等 the quality or state of being equal or equivalent
S27,Q6,inclusive,[ɪnˈklusɪv],包括的，包含的 covering or including everything
S27,Q7,stratification,[ˌstrætɪfɪˈkeʃən],1. (社会的)阶层分化 the state of being divided into social classes
,,,,2. 分层 the state of having many layers
S27,Q7,elucidate,[iˈluːsɪdeɪt],阐明，说明 to make something that is hard to understand clear or easy to understand
S27,Q7,obfuscate,[ˈɑːbfʌskeɪt],使混淆; 使困惑 to make something more difficult to understand : confuse
S27,Q8,disparity,[dɪˈspærəti],不同 difference
S27,Q8,variance,[ˈvɛrɪəns],"1. 争论，不和 the fact or state of being in disagreement : dissention, dispute"
,,,,"2. 变化，差异 the fact, quality, or state of being variable or variant : difference, variation"
S27,Q9,protract,[proʊˈtrækt],延长 to prolong in time or space : continue
S27,Q9,novel,[ˈnɑːvl],新颖的，新奇的 new and different from what has been known before
S27,Q10,spurn,[spɜːrn],摒弃；藐视 to reject with disdain or contempt : scorn
S27,Q10,slippery,[ˈslɪpəri],狡猾的 not to be trusted : tricky
S27,Q10,elusive,[ɪˈlusɪv],1. 难以捕捉的 hard to find or capture
,,,,"2. 难以理解的 hard to understand, define, or remember"
S28,Q1,cataclysmic,[ˌkætəˈklɪzmɪk],"灾难的 causing great destruction, violence"
S28,Q2,endemic,[ɛnˈdɛmɪk],growing or existing in a certain place or region
S28,Q2,from scratch,[frəm] [skrætʃ],从零开始，白手起家
S28,Q2,winnow,[ˈwɪnoʊ],"筛选; 遴选 separate, sift"
S28,Q3,arcane,[ɑrˈken],神秘的；晦涩难解的 secret or mysterious : known or understood by only a few people
S28,Q4,provocative,[prəˈvɑkətɪv],"1. 引发讨论的 ，思考的，争论的 causing discussion, thought, argument, etc.  Provocative"
,,,,book .
,,,,"2 挑衅的 If you describe something as provocative, you mean that it is intended to make"
,,,,people react angrily or argue against it.
S28,Q4,suggest,[səˈdʒɛst],启示，启发；促使做(或思考)
S28,Q4,stipulate,[ˈstɪpjulet],规定; 明确要求 to demand or require something as part of an agreement
S28,Q5,trivial,[ˈtrɪvɪəl],不重要的 not important
S28,Q5,simultaneous,[ˌsaɪmlˈtenɪəs],同时发生的 happening at the same time
S28,Q5,superficial,[ˌsupɚˈfɪʃl],"1. (人) 肤浅的 If you describe someone as superficial, you disapprove of them because they"
,,,,"do not think deeply, and have little understanding of anything serious or important."
,,,,2. 表面上的  concerned only with what is obvious or apparent : not thorough or complete
S28,Q5,peer,[pɪr],凝视，盯着看 to look narrowly or curiously
S28,Q5,cliquish,['klikɪʃ],小集团的 a small group of people who spend time together and who are not friendly to
,,,,other people
S28,Q7,archaic,[ɑrˈkeɪk],"陈旧的，古老的 of, relating to , or more primitive time : antiquated"
S28,Q8,vilify,[ˈvɪlɪfaɪ],诽谤，中伤 to say or write very harsh and critical things about someone or something
S28,Q8,stymie,[ˈstaɪmi],阻挠，妨碍 to present an obstacle to
S28,Q8,aggrieve,[əˈgriːv],使痛苦 to give pain or trouble to : distress
S28,Q9,apathetic,[ˌæpəˈθɛtɪk],没兴趣的 having little or interest or concern： indifferent
S28,Q9,fractious,[ˈfrækʃəs],1. 易怒的 full of anger and disagreement
,,,,2. 难控制的，难驾驭的 causing trouble : hard to manage or control
S28,Q9,restive,[ˈrestɪv],倔强的，难驾驭的 stubbornly resisting control : balky
S28,Q9,cynical,[ˈsɪnɪkl],认为人皆自私的 believing that people are generally selfish and dishonest
S28,Q9,compliant,[kəmˈplaɪənt],顺从的 willing to do whatever you are asked or ordered to do : ready and willing to comply
S28,Q9,tractable,[ˈtræktəbl],易驾驭的，易控制的 easily managed or controlled
S28,Q10,rant,[rænt],1. 咆哮 to talk loudly and in a way that shows anger
,,,,2. 痛骂 to scold vehemently
S28,Q10,diatribe,[ˈdaɪətraɪb],抨击 an angry and usually long speech or piece of writing that strongly criticizes someone
,,,,or something
S28,Q10,exculpate,[ˈekskʌlpeɪt],为…开脱罪责，使无罪 to clear from alledged fault or guilt ： acquit，absolve
S28,Q10,disquisition,[ˌdɪskwɪˈzɪʃn],专题论文 a formal inquiry into or discussion of a subject : discourse
S28,Q10,vindication,[ˌvɪndɪˈkeɪʃn],得到辩护；证明无罪/正确 an act of vindicating : defense
S29,Q1,vapid,[ˈvæpɪd],无聊乏味的 not lively or interesting: dull or boring
S29,Q1,jejune,[dʒɪˈdʒuːn],无聊乏味的 not interesting
S29,Q1,didactic,[daɪˈdæktɪk],说教的 designed or intended to teach people something
S29,Q1,dogmatic,[dɔːɡˈmætɪk],1. 自以为是的 expressing personal opinions or beliefs as if they are certainly correct and
,,,,cannot be doubted
,,,,2. 教条的 of or relating to dogma
S29,Q1,arcane,[ɑrˈken],神秘的；晦涩难解的 secret or mysterious : known or understood by only a few people
S29,Q2,grand,[ɡrænd],"1. 奢华的，华贵的，富丽堂皇的 rich and important ,lavish, sumptuous"
,,,,2. (建筑) 宏伟的 large and impressive in physical size or extent
,,,,3.(计划等) 宏大的 Grand plans or actions are intended to achieve important results.
S29,Q2,abstemious,[əbˈstimɪəs],节约的，节省的；有节制的 not eating and drinking too much
S29,Q2,insouciance,[ɪnˈsuːsiəns],漫不经心 lighthearted unconcern : nonchalance
S29,Q2,adjudicate,[əˈdʒuːdɪkeɪt],裁定 to make an official decision about who is right in a dispute
S29,Q3,bog down,[bɑɡ] [daʊn],(使)陷入困境，使陷于停顿  to become impeded or stuck----usually used with down
S29,Q3,adversary,[ˈædvɚsɛri],对手 an enemy or opponent
S29,Q4,perish,[ˈpɛrɪʃ],"1. 毁坏,摧毁 to become destroyed or ruined."
,,,,"2. (因恶劣条件或事故) 死亡 to die or be killed , especially in a terrible or sudden way"
S29,Q4,abstruse,[əbˈstrus],深奥难懂的 hard to understand : recondite
S29,Q4,repetitious,[ˌrepəˈtɪʃəs],"重复的 having parts, aaction, etc., that are repeated many times in a way that is boring or"
,,,,unpleasant
S29,Q5,encounter,[ɪnˈkaʊntɚ],"1. 遭遇 to have or experience problems, difficulties, etc."
,,,,2. 邂逅 to meet someone without expecting or intending to
S29,Q5,augment,[ɔɡˈmɛnt],"增加 To augment something means to make it larger, stronger, or more effective by"
,,,,adding something to it.
S29,Q5,debunk,[ˌdiːˈbʌŋk],曝光; 揭露...的真相 to show that something (such as a belief or theory) is not true
S29,Q5,predate,[priːˈdeɪt],(日期上)早于; 先于 to exist or happen at an earlier time than something or someone
S29,Q6,indiscretion,[ˈɪndɪˈskrɛʃən],轻率，不谨慎 lack of discretion : imprudence
S29,Q7,reproach,[rɪˈprotʃ],责备; 指责 to speak in an angry and critical way to someone
S29,Q7,deference,[ˈdefərəns],尊敬 a way of behaving that shows respect for someone or something
S29,Q8,provocative,[prəˈvɑkətɪv],"1. 引发讨论的 ，思考的，争论的 causing discussion, thought, argument, etc.  Provocative"
,,,,book .
,,,,"2 挑衅的 If you describe something as provocative, you mean that it is intended to make"
,,,,people react angrily or argue against it.
S29,Q8,exhilarating,[ɪɡˈzɪləretɪŋ],令人愉快的 make you feel very happy and excited
S29,Q9,antagonize,[ænˈtæɡənaɪz],使 (某人) 对自己产生敌意 to cause someone to feel hostile or angry
S29,Q9,pedestrian,[pəˈdɛstrɪən],"无聊乏味的，没有想象力的 not interesting or unusual : commonplace, unimaginative"
S29,Q9,mundane,[mʌnˈdeɪn],1.单调乏味的 dull and ordinary:boring
,,,,2.尘世间的，世俗的 concerned with ordinary daily life rather than religious matters
S29,Q10,delusive,[dɪˈluːsɪv],欺骗性的 likely to delude
S29,Q10,sketchy,[ˈsketʃi],粗略的; 不完全的 not complete or clear
S30,Q1,affable,[ˈæfəbl],友善的 friendly and easy to talk to
S30,Q1,ebullient,[ɪˈbʌliənt],精力充沛的; 热情洋溢的 lively and enthusiastic
S30,Q1,measured,[ˈmɛʒɚd],"慎重的 done with thought and care : deliberate , calculated"
S30,Q1,overwrought,[ˌoʊvərˈrɔːt],"极度情绪化的，神经很紧张的，十分忧虑的 very upset, nervous, and worried ；deeply agitated"
,,,,especially from emotion
S30,Q2,belie,[bɪˈlaɪ],1. 掩饰；与…不符 to give a false impression of
,,,,2. 证明…为虚假 to show something to be false or wrong
S30,Q2,conflate,[kənˈfleɪt],合并 to bring together : fuse
S30,Q2,divulge,[daɪˈvʌldʒ],泄露 to make information known : reveal
S30,Q3,premeditate,[prɪˈmedəˌteɪt],"预先考虑 to think, consider, or deliberate beforehand"
S30,Q4,glamorous,[ˈglæmərəs],迷人的，有魅力的 very exciting and attractive
S30,Q4,chic,[ʃɪk],时髦的 fashionable and appealing
S30,Q4,unfathomable,[ʌnˈfæðəməbl],深不可测的，难以理解的 impossible to understand
S30,Q4,sensible,[ˈsɛnsəbl],明智的 having or showing good sense or judgement
S30,Q6,attribute,[əˈtrɪbjut],1.属性，特质 a usually good quality or feature that someone or something has
,,,,2. 认为…具有…的特性 to regard as a characteristic of a person or thing
,,,,3.把…归因于…to explain by indicating a cause
,,,,"4.认为 (文章、作品等) 出自… If a piece of writing, a work of art, or a remark is attributed to"
,,,,"someone, people say that they wrote it, created it, or said it."
S30,Q6,compunction,[kəmˈpʌŋkʃn],悔恨，后悔 a feeling of guilt or regret
S30,Q6,justification,[ˌdʒʌstɪfɪˈkeʃən],1. 正当的理由 an acceptable reason  for doing something
,,,,2. 辩护 the act or an instance of justifying : vindication
S30,Q6,magnitude,[ˈmæɡnɪtud],1
,,,,"2. 重要级 the importance, quality, or caliber of something"
S30,Q7,rudimentary,[ˌruːdɪˈmentri],1.基本的 basic or simple
,,,,2.发育不完全的，未成熟的 not very developed or advanced
S30,Q7,primitive,[ˈprɪmətɪv],1.简单的，基本的 very basic and simple
,,,,
,,,,rudimentary
S30,Q8,portend,[pɔːrˈtend],
,,,,happen
S30,Q8,offset,[ˌɔfˈsɛt],1. 补偿 to serve as a counterbalance for : compensate
,,,,2. 抵消 to cancel or reduce the effect of something : balance
S30,Q9,murky,[ˈmɝki],1. 含糊不清的; 晦涩难懂的 not clearly expressed or understood
,,,,2. 模糊的 very dark or foggy
S30,Q9,compact,[ˈkɑmpækt],紧凑的 closely or firmly packed or joined together
S30,Q9,pristine,[ˈprɪstin],1. 原始状态的，崭新的 not changed by people : original
,,,,"2. 淳朴的 in perfect condition : completely clean, fresh, neat, etc."
S30,Q9,grimy,[ˈɡraɪmi],肮脏的 dirty
S30,Q9,dour,[ˈdaʊr],阴沉的 serious and unfriendly : silent and gloomy
S30,Q10,mirthful,[ˈmɜːθfəl],欢乐的  full of happiness
S30,Q10,jovial,[ˈdʒovɪəl],快乐的 full of happiness and joy
S30,Q10,tepid,[ˈtɛpɪd],1. 微温的，温热的 moderately warm : lukewarm
,,,,"2. 不太热情的 lacking in passion, force, or zest"
S30,Q10,lugubrious,[ləˈɡuːbriəs],悲哀的; 伤心的 full of sadness or sorrow : mournful
S30,Q10,gloomy,[ˈɡlumi],1. 沮丧的，忧伤的 sad or depressed
,,,,2. 前景黯淡的 lacking in promise or hopefulness : pessimistic
S31,Q1,authoritarianism,[ɔːˌθɒrɪˈteəriənɪsm],独裁主义 expecting or requiring people to obey rules or laws : not allowing personal
,,,,freedom
S31,Q1,forbearance,[fɔrˈbɛrəns],忍耐；宽容 the quality of someone who is patient and able to deal with a difficult person or
,,,,situation without becoming angry
S31,Q1,lucidity,[luːˈsɪdəti],1. (思想、风格等的)明晰，明白，清楚 clearness of thought or style
,,,,2. 洞察力 a presumed capacity to perceive the truth directly and instaneously : clairvoyance
S31,Q1,expedient,[ɪkˈspidɪənt],权宜的；方便的 providing an easy and quick way to solve a problem or do something
S31,Q2,reminiscent,[ˌremɪˈnɪsnt],令人想起的 reminding you of someone oe something else
S31,Q2,inimical,[ɪˈnɪmɪkl],1. 不利的，有害的 likely to cause damage or have a bad effect
,,,,2. 不友好的，敌意的 not friendly : hostile
S31,Q3,dictum,[ˈdɪktəm],格言 a statement or well-known remark that expresses an important idea or rule
S31,Q3,jettison,[ˈdʒɛtɪsn],"1. 丢弃 to drop something from a moving ship, airplane, etc."
,,,,2. 拒绝 to get rid of something : to reject something
S31,Q4,meander,[miˈændər],1. 漫步 to wander aimlessly or casually owithout urgent destination : ramble
,,,,2. 漫谈 to go from one topic to another without any clear direction
S31,Q4,taxing,[ˈtæksɪŋ],"费力的；繁重的 onerous, wearing"
S31,Q4,sanity,[ˈsænəti],1. 心智健全 the condition of having a healthy mind
,,,,2. 明智 the condition of being based on reason or good judgment
S31,Q5,prestigious,[prɛˈstɪdʒəs],有名望的 having prestige : honored
S31,Q5,anomalous,[əˈnɑmələs],"反常的  not expected or usual : irregular, unusual"
S31,Q6,captivate,[ˈkæptɪveɪt],"迷住，吸引 to attract and hold the attention if someone by being interesting, pretty, etc."
S31,Q6,outrage,[ˈaʊtredʒ],愤怒 extreme anger
S31,Q6,myriad,[ˈmɪriəd],大量 a great number of
S31,Q7,random,[ˈrændəm],"随意的 chosen, done,etc., without a particular plan or pattern"
S31,Q7,ambiguity,[ˌæmbɪˈɡjuəti],模棱两可 something that does not have a single clear meaning
S31,Q7,heterogeneity,[ˌhetərəˈdʒəˈniːəti],[生物] 异质性；[化学] 不均匀性；[化学] 多相性 the quality or state of being heterogeneous
S31,Q8,de-emphasize,[di:'emfəsaiz],不再重视，不再强调 to reduce in relative importance : play down
S31,Q8,champion,[ˈtʃæmpɪən],"支持，拥护，捍卫 If you champion a person, a cause, or a principle, you support or defend"
,,,,them.
S31,Q8,downplay,[ˌdaʊnˈple],"不予重视；将...轻描淡写 play down, de-emphasize"
S31,Q9,hamstring,[ˈhæmstrɪŋ],使无能为力 to make ineffective or powerless : cripple
S31,Q9,revitalize,[ˌriːˈvaɪtəlaɪz],"使…复兴；使…恢复生气 to make someone or something active, healthy, or energectic again"
S31,Q9,invigorate,[ɪnˈvɪɡəret],1. 刺激; 激励 stimulate
,,,,2.  鼓舞；使精力充沛 to give life and energe to someone : animate
S31,Q9,bighearted,[ˈbɪgˌhɑrtɪd],"慷慨的；宽大的 generous, charitable"
S31,Q9,manic,[ˈmænɪk],"狂热的 very excited, energetic, or emotional"
S31,Q10,inflammatory,[ɪnˈflæmətɔːri],"煽动性的 tending to excite anger, disorder, or tumult : seditious"
S31,Q10,pedestrian,[pəˈdɛstrɪən],"无聊乏味的，没有想象力的 not interesting or unusual : commonplace, unimaginative"
S31,Q10,gloomy,[ˈɡlumi],1. 沮丧的，忧伤的 sad or depressed
,,,,2. 前景黯淡的 lacking in promise or hopefulness : pessimistic
S31,Q10,puerile,[ˈpjʊrəl],孩子气的，不成熟的，傻的 silly or childish especially in a way that shows a lack if serious or
,,,,good judgment
S32,Q1,fury,[ˈfjʊri],暴怒 violent anger
S32,Q1,usage,['jusɪdʒ],1.对待的方式 manner of treating
,,,,2.(指某物的)利用度；使用 Usage is the degree to which someting is used or the way in which
,,,,it is used.
,,,,3.(词的）意义；用法 A usage is a meaning that a word has or a way in which it can be used.
S32,Q1,sober,[ˈsobɚ],1.认真的，严肃的 having or showing a very serious attitude or quality
,,,,"2.未喝醉的 ：(引申义) 清醒的，冷静的 ，有节制的,适度的 not drunk, abstemious, calm"
,,,,3. 素淡的，朴素的 plain in color
S32,Q1,deject,[dɪˈdʒekt],使…沮丧  to make gloomy
S32,Q2,exalt,[ɪɡˈzɔlt],赞扬 to praise someone or something highly
S32,Q2,coddle,[ˈkɑːdl],溺爱 to treat someone with too much care or kindness
S32,Q2,excoriate,[ˌeksˈkɔːrieɪt],严厉批评 to criticize someone or something very harshly
S32,Q2,mollify,[ˈmɑːlɪfaɪ],1. 安抚，平息 to soothe in temper or disposition : appease
,,,,"2. 缓和 to reduce in intensity : assuage, temper"
S32,Q2,delude,[dɪˈluːd],"欺骗 to cause someone to believe something that is not true : deceive, trick"
S32,Q3,gainsay,[ˌɡenˈse],否认 to deny or disagree with something : to show or say that something is not true
S32,Q3,fallibility,[ˌfæləˈbɪləti],易错 liability to error
S32,Q4,hew to,[hju] [tuˌtə],"遵守 conform, adhere"
S32,Q4,override,[ˌovɚˈraɪd],1. 比…更重要 to have more importance or influence than something
,,,,2. 使无效 to make something no longer valid
,,,,3. 占主导 to prevail over : dominate
S32,Q4,mitigate,[ˈmɪtɪɡeɪt],缓解 to make less severe or painful : alleviate
S32,Q5,incompatible,[ˌɪnkəmˈpætəbl],不相容的; 不协调的 not able to be used together
S32,Q5,clumsy,[ˈklʌmzi],笨拙的 badly or awkwardly made or done
S32,Q6,compliance,[kəmˈplaɪəns],顺从 the act or process of doing what you have been asked or ordered to do : the act or
,,,,process of complying
S32,Q6,obsequious,[əbˈsiːkwiəs],奉承的 too eager to help or obey someone important
S32,Q6,veil,[vel],掩饰 to hide or partly hide something
S32,Q6,fervent,[ˈfɝvənt],炽热的；热烈的 exhibiting or marked by great intensity of feeling : zealous
S32,Q6,sabotage,[ˌsæbəˈtɑʒ],蓄意破坏 to destroy or damage something deliberately so that it does not work correctly
S32,Q6,cynicism,[ˈsɪnɪsɪz(ə)m],人皆自私论; 愤世嫉俗论 beliefs that people are generally selfish and dishonest
S32,Q6,acquiescence（to）,[ˌækwiˈesns],"默许 ,(勉强)同意  Acquiescence is agreement to do what someone wants, or acceptance of"
,,,,what they do even though you do not agree with it
S32,Q6,intractability,"[ɪn,træktə'bɪləti]","棘手；难驾驭 not neasily managed, controlled, or solved"
S32,Q6,veneration,[ˌvenəˈreɪʃn],"尊敬 respect or awe inspired by the dignity, wisdom, dedication, or talent of a person"
S32,Q6,detestation,"[,diːte'steɪʃ(ə)n]","厌恶 extreme hatred or dislike : abhorrence, loathing"
S32,Q7,augment,[ɔɡˈmɛnt],"增加 To augment something means to make it larger, stronger, or more effective by"
,,,,adding something to it.
S32,Q7,sidestep,[ˈsaɪdstɛp],"回避 bypass, evade"
S32,Q7,vilify,[ˈvɪlɪfaɪ],诽谤，中伤 to say or write very harsh and critical things about someone or something
S32,Q7,circumvent,[ˌsɜːrkəmˈvent],"1.〔尤指巧妙或不诚实地〕回避，规避〔含贬义〕to avoid a problem or rule that restricts you,"
,,,,especially in a clever or dishonest way—used to show disapproval
,,,,2〔改道〕绕开，避开〔某物〕to avoid something by changing the direction in which you are
,,,,travelling
S32,Q7,endorse,[ɪnˈdɔrs],公开支持; 赞同 to publicly or officially say that you support or approve of someone or
,,,,something
S32,Q8,mien,[min],仪表;面部表情 a person's appearance or facial expression
S32,Q9,disparage,[dɪˈspærɪdʒ],"诋毁 to describe someone or something as unimportant, weak, bad, etc."
S32,Q9,assiduous,[əˈsɪdʒuəs],"刻苦的，勤勉的 showing great care, attention, and effort"
S32,Q9,stupefaction,[ˌstjuːpɪˈfækʃn],惊愕 astonishment
S32,Q9,mockery,[ˈmɑkəri],嘲笑 insulting or contemptuous action or speech : derision
S32,Q9,incredulity,[ˌɪnkrəˈdjuːləti],怀疑；不轻信 the quality or state of being incredulous : disbelief
S32,Q9,certitude,[ˈsɜːrtɪtuːd],确信；确实 the state of being or feeling certain
S32,Q9,derision,[dɪˈrɪʒn],嘲笑 the use of ridicule or scorn to show contempt
S32,Q10,sophistication,[səˌfɪstɪˈkeʃən],"老练,老于世故 the process or result of becoming more complex, developed, or subtle"
S32,Q10,retrenchment,[rɪˈtrentʃmənt],"(开支的)紧缩; 削减 reduction, curtailment"
S32,Q10,burgeon,[ˈbɝdʒən],迅速生长 to grow or develop quickly
S32,Q10,curtail,[kɜːrˈteɪl],缩减 to reduce or limit something
S33,Q1,disavow,[ˌdɪsəˈvaʊ],"否认 , 拒绝接受， 拒绝对...承担责任 to deny responsibility for : repudiate，disclaim，gainsay"
